id,module,question,correct_answers,choices,image_url
1,8,You are about to begin an upgrade of a Windows 10 workstation to Windows 11.<br>What should you do before beginning? (Select Two),Create a system backup of the hard drive.|Verify that the computer meets the minimum requirements.,Create a system backup of the hard drive. | Install all the applications that will be used on the new system. | Remove all peripherals and expansion boards. | Repartition and reformat the hard drive. | Verify that the computer meets the minimum requirements.,
2,5,"A computer that is being used by the HR department needs to ensure that all of the data on that computer is protected from a single hard disk failure. The data needs to be read as quickly as possible, and the HR department would like to maximize drive use as much as possible. This computer can use up to three hard drives.<br>Which of the following RAID types would meet these requirements and provide the BEST data protection?",RAID 5,RAID 0 | RAID 1 | RAID 5 | RAID 10,
3,5,"Jessica is concerned about losing data due to a hard disk failure. Her computer will only support a maximum of three disks. To protect her data, she has decided to use RAID (Redundant Array of Independent Disks).<br>Which of the following RAID types would give Jessica the BEST mirrored data protection?",RAID 1,RAID 0 | RAID 1 | RAID 5 | RAID 10,
4,13,Which of the following functions are enabled by Server Message Block (SMB) protocol when using the scan-to-folder network document scanning method? (Select Two),"File, print, scan, and device sharing|Client-server network communication","Ability to use the Windows Fax and Scan utility to enable transmission | File, print, scan, and device sharing | Targeting of individuals or groups | Secure transmission through SSL encryption | Client-server network communication",
5,3,Which of the following DDR memory types can be used by a triple-channel memory system? (Select Two),DDR3 | DDR4,DDR4 | DDR-400 | DDR2 | DDR3 | DDR,
6,4,Which operating system attribute has the ability to use multiple processing devices?,Multiprocessing,Multiprocessing | Multitasking | Multithreading,
7,4,Which operating system attribute has the ability to run multiple applications simultaneously?,Multitasking,Multiprocessing | Multitasking | Multithreading,
8,4,Which operating system attribute has the ability to run multiple parts of an application simultaneously?,Multithreading,Multiprocessing | Multitasking | Multithreading,
9,3,Which type of USB 3.0 connector is shown here?,MicroUSB,Type-A | Type-B | MiniUSB | MicroUSB,static/images/usb3-a-b.jpg
10,11,"When using TCP, two hosts first establish a connection through a three-way handshake.<br>What is the first Step?",The first host sends a SYN packet asking to create a new session.,"The first host sends a SYN packet asking to create a new session. | The first host sends a SYN-ACK packet asking to create a new session. | The receiving host replies with an ACK packet that the session can be created. | The receiving host replies with a SYN-ACK packet acknowledging that the session can be created. | The first host replies with the ACK packet, which then opens the session. | The first host replies with a SYN packet, which then opens the session.",
11,11,"When using TCP, two hosts first establish a connection through a three-way handshake.<br>What is the second Step?",The receiving host replies with a SYN-ACK packet acknowledging that the session can be created.,"The first host sends a SYN packet asking to create a new session. | The first host sends a SYN-ACK packet asking to create a new session. | The receiving host replies with an ACK packet that the session can be created. | The receiving host replies with a SYN-ACK packet acknowledging that the session can be created. | The first host replies with the ACK packet, which then opens the session. | The first host replies with a SYN packet, which then opens the session.",
12,11,"When using TCP, two hosts first establish a connection through a three-way handshake.<br>What is the third Step?","The first host replies with an ACK packet, which then opens the session.","The first host sends a SYN packet asking to create a new session. | The first host sends a SYN-ACK packet asking to create a new session. | The receiving host replies with an ACK packet that the session can be created. | The receiving host replies with a SYN-ACK packet acknowledging that the session can be created. | The first host replies with the ACK packet, which then opens the session. | The first host replies with a SYN packet, which then opens the session.",
13,5,You want a storage device that has the ability to:<br>--Integrate data and device power into a single cable<br>--Use a connector and port that is neither L-shaped nor rectangular.<br>Which of the following SATA devices is the BEST for these conditions?,eSATAp,eSATAp | eSATA | SATA3 | SATA2 | SATA1,
14,4,You are in the process of preparing to install Windows 11 on your Windows 10 computer.<br>Which of the following pre-installation steps are critical to complete if you are performing a clean installation? (Select Two),Back-Up Existing Data|Obtain Hardware Drivers,Verify Software Compatibility | Obtain Hardware Drivers | Create A System Image | Back-Up Existing Data | Gather Any Third-Party Installation Media,
15,3,"You have just upgraded your computer's CPU. You consulted the motherboard documentation to make sure that the CPU was compatible with the motherboard. However, when you turn the system on, it locks up shortly after startup.<br>Which of the following are the BEST steps to try first while troubleshooting this issue? (Select Two)","Make sure that the CPU is seated properly, oriented correctly, and locked in to the socket.|Look for something that could be causing the new CPU to overheat.","Make sure that the CPU is seated properly, oriented correctly, and locked in to the socket. | Test the power supply using a multimeter. | Make sure that the power cord is plugged in and that the power supply switch is in the On position. | Replace the CMOS battery. | Look for something that could be causing the new CPU to overheat.",
16,13,"Inkjet printers are popular for small businesses because they provide good quality printouts. However, fuzzy lines can appear in artwork, or colored areas in images can sometimes start and stop before they should.<br>Which of the following should you do when this happens?",Calibrate the Printer,Calibrate the Printer | Replace the Ink Supply | Clear the Paper Jam | Clean the Printhead,
17,14,You want to configure a Windows workstation with your network proxy server's IP address from Control Panel using the Internet Properties window.<br>Which tab in the Internet Properties window would you choose to do this?,Connections,General | Security | Privacy | Content | Connections | Programs | Advanced,static/images/internetoptions.png
18,14,Which of the following are likely symptoms of a malware infection? (Select Two),Renamed System Files|Changed File Permissions,Receipts of Phishing Emails in Your Inbox | Cookies Placed by a Recently Visited Website | Renamed System Files | Changed File Permissions | Operating System Updates That Were Installed Without Your Knowledge,
